data,nome,peso,repeticao,cardio,tempo,peso_add,rep_add
8/11/2023,Supino inclinado hack,50,9,Bike,17,,
8/11/2023,Supino reto halter,24,11,Bike,17,,
8/11/2023,Supino reto halter,24,11,Bike,17,,
8/11/2023,Supino reto halter,24,8,Bike,17,,
8/11/2023,Supino reto halter,24,8,Bike,17,,
8/11/2023,Supino reto halter,24,7,Bike,17,,
8/11/2023,Crucifixo voador,79,11,Bike,17,,
8/11/2023,Crucifixo voador,79,10,Bike,17,,
8/11/2023,Crucifixo voador,79,10,Bike,17,,
8/11/2023,Crucifixo voador,79,9,Bike,17,,
8/11/2023,Crucifixo voador,79,7,Bike,17,,
8/11/2023,Desenvolvimento Arnold ,14,11,Bike,17,,
8/11/2023,Desenvolvimento Arnold ,14,9,Bike,17,,
8/11/2023,Desenvolvimento Arnold ,14,8,Bike,17,,
8/11/2023,Desenvolvimento Arnold ,14,8,Bike,17,,
8/11/2023,Desenvolvimento Arnold ,14,8,Bike,17,,
8/11/2023,Desenvolvimento com barra isometria,26,11,Bike,17,,
8/11/2023,Desenvolvimento com barra isometria,26,11,Bike,17,,
8/11/2023,Desenvolvimento com barra isometria,26,9,Bike,17,,
8/11/2023,Desenvolvimento com barra isometria,26,10,Bike,17,,
8/11/2023,Desenvolvimento com barra isometria,26,9,Bike,17,,
9/11/2023,Elevacao frontal,17,11,Caminhada,20,,
9/11/2023,Elevacao frontal,17,11,Caminhada,20,,
9/11/2023,Elevacao frontal,17,11,Caminhada,20,,
9/11/2023,Elevacao frontal,17,11,Caminhada,20,,
9/11/2023,Crucifixo abdutor na polia unilateral,5.7,11,Caminhada,20,,
9/11/2023,Crucifixo abdutor na polia unilateral,5.7,11,Caminhada,20,,
9/11/2023,Crucifixo abdutor na polia unilateral,5.7,11,Caminhada,20,,
9/11/2023,Crucifixo abdutor na polia unilateral,5.7,10,Caminhada,20,,
9/11/2023,Mesa Flexora,55,11,Caminhada,20,,
9/11/2023,Mesa Flexora,55,9,Caminhada,20,,
9/11/2023,Mesa Flexora,55,9,Caminhada,20,,
9/11/2023,Mesa Flexora,55,7,Caminhada,20,,
9/11/2023,Stiff,46,11,Caminhada,20,,
9/11/2023,Stiff,46,12,Caminhada,20,,
9/11/2023,Stiff,46,12,Caminhada,20,,
9/11/2023,Stiff,46,12,Caminhada,20,,
9/11/2023,Flexao de joelho na extensora,16,10,Caminhada,20,,
9/11/2023,Flexao de joelho na extensora,16,10,Caminhada,20,,
9/11/2023,Flexao de joelho na extensora,16,8,Caminhada,20,,
9/11/2023,Flexao de joelho na extensora,16,8,Caminhada,20,,
9/11/2023,Bom dia,30,11,Caminhada,20,,
9/11/2023,Bom dia,30,11,Caminhada,20,,
9/11/2023,Bom dia,30,12,Caminhada,20,,
9/11/2023,Extensora Isometria,41,12,Caminhada,20,,
9/11/2023,Extensora Isometria,41,12,Caminhada,20,,
9/11/2023,Extensora Isometria,41,11,Caminhada,20,,
9/11/2023,Extensora Isometria,41,10,Caminhada,20,,
10/11/2023,Remada baixa,95,14,Bike,18,,
10/11/2023,Remada baixa,95,14,Bike,18,,
10/11/2023,Remada baixa,95,14,Bike,18,,
10/11/2023,Remada baixa,95,14,Bike,18,,
